Name,Level,School,Casting time,Description,Classes
Acid Splash,Cantrip,Conjuration,Action,Hurl a bubble of acid that deals 1d6 Acid to each creature it hits. Attack/Save: Dexterity Range: 18m/60ft + 2m/7ft Explode radius,Wizard
Blade Ward,Cantrip,Abjuration,Action,"Inflicts Blade Ward (2)Gain resistance to Bludgeoning, Piercing, and Slashing damage from weapon attacks.","Warlock, Wizard"
Chill Touch,Cantrip,Necromancy,Action,Inflicts Chill Touch (2)Assail a creature with the chill of the grave. It takes 1d8 Necrotic and cannot regain hit points. Undead creatures also get disadvantage on attack rolls. Attack/Save: Ranged Attack Range: 18m/60ft,"Warlock, Wizard"
Dancing Lights,Cantrip,Evocation,Bonus Action,Create wisps of light that illuminate a 12m/40ft radius. Concentration: Required Range: 18m/60ft,Wizard
Eldritch Blast,Cantrip,Evocation,Action,1d10 ForceConjure a beam of crackling energy that deals 1d10 Force. Attack/Save: Ranged Attack Range: 18m/60ft,Warlock
Fire Bolt,Cantrip,Evocation,Action,1d10 FireHurl a mote of fire that deals 1d10. Attack/Save: Ranged Attack Range: 18m/60ft,Wizard
Friends,Cantrip,Enchantment,Action,Inflicts Friends (10)Enchant a non-hostile creature to gain advantage on Charisma checks against it. Concentration: Required Range: 9m/30ft,"Warlock, Wizard"
Githyanki Psionics: Mage Hand,Cantrip,Conjuration,Action,Create an invisible spectral hand that can manipulate and interact with objects.,Githyanki
Guidance,Cantrip,Divination,Action,Bestow guidance upon a creature. It receives a d4 bonus to an ability check of its choice. Concentration: Required Range: 1.5m/5ft,Cleric
Light,Cantrip,Evocation,Action,Infuse an object with an aura of light. Range: 1.5m/5ft,"Cleric, Wizard"
Mage Hand,Cantrip,Conjuration,Action,Create a spectral hand that can manipulate and interact with objects. Concentration: Required Range: 18m/60ft,"Warlock, Wizard"
Minor Illusion,Cantrip,Illusion,Action,"Create an illusory image that distracts nearby creatures, compelling them to investigate.You can remain hidden while casting this spell.","Warlock, Wizard"
Poison Spray,Cantrip,Conjuration,Action,1d12 PoisonProject a puff of noxious gas that deals 1d12 Poison. Attack/Save: Constitution Range: 3m/10ft,"Warlock, Wizard"
Produce Flame,Cantrip,Conjuration,Action,Inflicts Produce Flame A flickering flame appears in your hand. It sheds bright light in a 3m radius and deals 1d8 Fire damage when thrown.Throwing the flame immediately after you conjure it does not cost an action. Extinguishing or throwing it on subsequent turns costs an action,Druid
Ray of Frost,Cantrip,Evocation,Action,1d8 ColdInflicts Ray of Frost (1)Call forth a frigid beam of blue-white light. Deals 1d8 Cold and reduces the target's speed by 3m/10ft. Attack/Save: Ranged Attack Range: 18m/60ft,Wizard
Resistance,Cantrip,Abjuration,Action,Magically bolster a creature's defenses. It receives a d4 bonus to saving throws. Concentration: Required Range: 1.5m/5ft,Cleric
Sacred Flame,Cantrip,Evocation,Action,1d8 RadiantConjure a flame-like radiance that deals 1d8 Radiant. Attack/Save: Dexterity Range: 18m/60ft,Cleric
Shillelagh,Cantrip,Transmutation,Bonus Action,"Inflicts Shillelagh Imbue your staff or club with nature's power. It becomes magical, deals 1d8+Wisdom Bludgeoning damage, and you use your spellcasting ability for attack rolls.",Druid
Shocking Grasp,Cantrip,Evocation,Action,1d8 LightningInflicts Shocking Grasp (1)Lightning springs from your hand. It deal 1d8 Lightning and prevents the target from taking reactions. Attack/Save: Melee Attack Range: 1.5m/5ft,Wizard
Thaumaturgy,Cantrip,Transmutation,Action,Manifest a sign of supernatural power that grants you advantage on Intimidation and Performance checks.,Cleric
Thorn Whip,Cantrip,Transmutation,Action,"Strike at a target with a thorny, vine-like whip. It deals 1d6 Piercing damage and pulls the target 3m closer to you if it is Large or Smaller in size.",Druid
True Strike,Cantrip,Divination,Action,Inflicts True Strike (2)Divine a character's defenses to give you advantage on attack rolls against it. Concentration: Required Range: 18m/60ft,"Warlock, Wizard"
Animal Friendship,Lv 1,Enchantment,Action,Inflicts CharmedCharm a beast and convince it you mean no harm.Prerequisite: the beast cannot have an intelligence of 4 or higher. The spell ends if you or one of your companions harms the beast.,Ranger
Armour of Agathys,Lv 1,Abjuration,Action,Inflicts Armour of Agathys (1)A spectral frost covers you. Gain 5 temporary hit points and deal 5 Cold to any creature that hits you with a melee attacks.,Warlock
Arms of Hadar,Lv 1,Conjuration,Action,"2d6 NecroticCall forth tendrils of dark energy. Targets take 2d6 Necrotic and can't take reactions.On a successful save, targets only take half damage. Attack/Save: Strength Range: 3m/10ft",Warlock
Bane,Lv 1,Enchantment,Action,Inflicts Bane (10)Target up to 3 creatures. They receive a d4 penalty to attack rolls and saving throws. Attack/Save: Charisma Concentration: Required Range: 9m/30ft,Cleric
Bless,Lv 1,Enchantment,Action,Inflicts Bless (10)Bless up to 3 creatures. They receive a d4 bonus to attack rolls and saving throws. Concentration: Required Range: 9m/30ft,Cleric
Burning Hands,Lv 1,Evocation,Action,"Fire shoots from your outstretched fingers. It ignites anything flammable and deals 3d6 Fire.On successful save, targets only take half damage. Attack/Save: Dexterity Range: 5m/17ft","Light Domain, The Fiend, Wizard"
Charm Person,Lv 1,Enchantment,Action,"Inflicts Charmed (10)Magically charm a humanoid that you can see.A Charmed creature can't harm the charmer, and the charmer has advantage on Charisma checks against the creature. Attack/Save: Wisdom Range: 18m/60ft","Trickery Domain, Warlock, Wizard"
Chromatic Orb,Lv 1,Evocation,ActionSpell Slot,Hurl a sphere of energy that deals 3d8 elemental damage of your choice,"Wizard, Sorcerer"
Chromatic Orb: Acid,Lv 1,Evocation,ActionSpell Slot,2d8 AcidHurl a sphere of energy that deals 2d8 Acid Damage and creates an acid surface.,"Wizard, Sorcerer"
Chromatic Orb: Cold,Lv 1,Evocation,ActionSpell Slot,2d8 ColdHurl a sphere of energy that deals 2d8 Cold Damage and creates a frozen surface.,"Wizard, Sorcerer"
Chromatic Orb: Fire,Lv 1,Evocation,ActionSpell Slot,2d8 FireHurl a sphere of energy that deals 2d8 Fire Damage and creates a fire surface.,"Wizard, Sorcerer"
Chromatic Orb: Lightning,Lv 1,Evocation,ActionSpell Slot,2d8 LightningHurl a sphere of energy that deals 2d8 Lightning Damage and creates an electrified surface.,"Wizard, Sorcerer"
Chromatic Orb: Poison,Lv 1,Evocation,ActionSpell Slot,2d8 PoisonHurl a sphere of energy that deals 2d8 Poison Damage and creates an poison surface.,"Wizard, Sorcerer"
Chromatic Orb: Thunder,Lv 1,Evocation,ActionSpell Slot,3d8 ThunderHurl a sphere of energy that deals 3d8 Thunder Damage.,"Wizard, Sorcerer"
Colour Spray,Lv 1,Illusion,Action,"Inflicts Colour Spray (1)Creates a dazzling array of flashing, colored lights that Blinds creatures up to a combined 33 hit points. Range: 5m/17ft",Wizard
Command (Halt),Lv 1,Enchantment,Action,"Inflicts Command: Halt (1)Command a creature to halt, preventing it from moving or taking actions. Attack/Save: Wisdom Range: 18m/60ft","Cleric, The Fiend"
Create Water,Lv 1,Transmutation,Action,Call forth rain. It extinguishes exposed flames and forms a water surface. Range: 9m/30ft,Cleric
Cure Wounds,Lv 1,Evocation,Action,1d8+[Spellcasting Modifier] hit pointsA creature you touch regains 1d8+[Spellcasting Modifier] hit points.This spell has no effect on undead or constructs. Range: 1.5m/5ft,"Cleric, Ranger"
Disguise Self,Lv 1,Illusion,Action,Magically change all aspects of your appearance.(Lasts until the end of a long rest),"Trickery Domain, Wizard"
Dissonant Whispers,Lv 1,Enchantment,Action,"3d6 PsychicInflicts Frightened (1)Whisper a discordant melody to creature. It takes 3d6 Psychic and becomes Frightened.On a successful save, the creature only takes half damage. Attack/Save: Wisdom Range: 18m/60ft",The Great Old One
Ensnaring Strike,Lv 1,Conjuration,Bonus Action,"Your attack summons thorny vines, dealing 1d6+3 piercing and possibly Ensnaring your target.Ensnared creatures take 1d6 Piercing at the start of each turn. The creature or an ally can use its action to try and tear away the vines.",Ranger
Entangle,Lv 1,Conjuration,Action,"Vines sprout from the ground, turning it into difficult terrain and possibly Entangling creatures within. Attack/Save: Strength Concentration: Required Range: 18m/60ft",Druid
Expeditious Retreat,Lv 1,Transmutation,Bonus Action,"Inflicts Expeditious Retreat (1)Turn Dash into a bonus action, allowing you to move at an incredible pace. Concentration: Required","Warlock, Wizard"
Faerie Fire,Lv 1,Evocation,Action,"Inflicts Faerie Fire (10)Encase multiple targets in colourful light. The targets turns visible, and attack rolls against the targets have advantage. Attack/Save: Dexterity Concentration: Required Range: 18m/60ft",Light Domain
False Life,Lv 1,Necromancy,Action,Inflicts False Life (1)Bolster yourself with a necromantic facsimile of life to gain 5 temporary hit points.,Wizard
Feather Fall,Lv 1,Transmutation,Bonus Action,Inflicts Feather Fall (10)Slow the rate of descent of allied creatures. Grants immunity to Falling damage. Range: 9m/30ft,Wizard
Find Familiar,Lv 1,Conjuration,Action,"Gain the service of a familiar, a fey spirit that takes an animal from you choose.(Using this spell allows the caster to choose from Find Familiar: Cat, Find Familiar: Crab, Find Familiar: Frog, Find Familiar: Rat, Find Familiar: Raven, and Find Familiar: Spider)(Lasts until the end of a long rest) Range: 18m/60ft",Wizard
Find Familiar: Cat,Lv 1,Conjuration,Action,Summon a familiar with the form and statistics of a cat that can distract your enemies.(Lasts until the end of a long rest) Range: 18m/60ft,Wizard
Find Familiar: Crab,Lv 1,Conjuration,Action,Summon a familiar with the form and statistics of a crab. Its sharp pincers can slow enemies. (Lasts until the end of a long rest) Range: 18m/60ft,Wizard
Find Familiar: Frog,Lv 1,Conjuration,Action,Summon a familiar with the form and statistics of a frog. Its skin is covered with dizzying toxins.(Lasts until the end of a long rest) Range: 18m/60ft,Wizard
Find Familiar: Rat,Lv 1,Conjuration,Action,Summon a familiar with the form and statistics of a rat. Its infectious bite can spread disease. (Lasts until the end of a long rest) Range: 18m/60ft,Wizard
Find Familiar: Raven,Lv 1,Conjuration,Action,Summon a familiar with the form and statistics of a raven. It can launch precise attacks.(Lasts until the end of a long rest) Range: 18m/60ft,Wizard
Find Familiar: Spider,Lv 1,Conjuration,Action,Summon a familiar with the form and statistics of a spider. Its deadly bite can poison enemies.(Lasts until the end of a long rest) Range: 18m/60ft,Wizard
Fog Cloud,Lv 1,Conjuration,Action,Create a cloud of dense frog. Creatures submerged in the fog are Heavily Obscured and Blinded. Concentration: Required Range: 18m/60ft,"Ranger, Wizard"
Goodberry,Lv 1,Transmutation,Action,Conjure four magical berries for youself or a companion. Creatures who eat a berry regain 1d4 hit points. Range: 1.5m The berries appear in the targeted creature's inventory and disappear after a long rest.,"Druid, Ranger"
Grease,Lv 1,Conjuration,Action,Cover the ground in grease. It becomes difficult terrain and creatures within can fall Prone. Range: 18m/60ft,Wizard
Guiding Bolt,Lv 1,Evocation,Action,4d6 RadiantInflicts Guiding Bolt (2)Call forth a beam of light. Deals 4d6 Radiant and grants advantage on the next attack against the target. Attack/Save: Ranged Attack Range: 18m/60ft,Cleric
Hail of Thorns,Lv 1,Conjuration,Bonus Action,"Shoot a volley of thorns. They deal 1d6+3 Piercing to the target and surrounding creatures.On successful save, creatures only take half damage from the explosion.",Ranger
Healing Word,Lv 1,Evocation,Bonus Action,1d4+[Spellcasting Modifier] hit pointsA creature you can see regains 1d4+[Spellcasting Modifier] hit points.This spell has no effect on Undead or Constructs. Range: 18m/60ft,Cleric
Hellish Rebuke,Lv 1,Evocation,-,"2d10 FireThe next time you take damage, you use your reaction to surround your attacker in hellish flames that deal 2d10 Fire.On a successful save, the target only takes half damage.",Warlock
Hex,Lv 1,Enchantment,Bonus Action,Curse a creature to deal an additional 1d6 Necrotic whenever you hit it with an attack. The creature also has disadvantage on ability checks for one ability of your choosing. Concentration: Required Range: 18m/60ft,Warlock
Hunter's Mark,Lv 1,Divination,Bonus Action,"Inflicts Hunter's Mark QuarryMark a creature as your quarry to deal an additional 1d6 Piercing whenever you hit it with a weapon attacks.If the target dies before the spell ends, you can use a bonus action to mark a new creature.",Ranger
Inflict Wounds,Lv 1,Necromancy,Action,3d10 NecroticInfuse your hands with putrefying energy that deals 3d10 Necrotic. Attack/Save: Melee Attack Range: 1.5m/5ft,Cleric
Jump,Lv 1,Transmutation,Action,Inflicts Jump (10)Touch a creature to triple its jumping distance. Range: 1.5m/5ft,"Ranger, Wizard"
Longstrider,Lv 1,Transmutation,Action,Inflicts Longstrider (1)Touch a creature to increase its speed by 3m/10ft. Range: 1.5m/5ft,"Ranger, Wizard"
Lunar Mend,Lv 1,-,Bonus Action,Expend spell slots to regain hit points while wild shaped. Yor regain 1d8 hit points per level of the spell slot.,Circle of the Moon (Druid Sub Class)
Mage Armour,Lv 1,Abjuration,Action,Inflicts Mage Armour (1)Surround a creature in a protective magical force. Its Armour Class increases by 3.Prerequisite: not wearing armour. Range: 1.5m/5ft,Wizard
Magic Missile,Lv 1,Evocation,Action,"1d4+1 ForceCreate three darts of magical force, each dealing 1d4+1 Force to its target Range: 18m/60ft",Wizard
Protection from Evil and Good,Lv 1,Abjuration,Action,"Inflicts Protection from Evil and Good (1)Protect a creature against aberrations, celestials, elementals, fey, fiends, and undead.The target can't be Charmed, Frightened, or possessed by them, and when these creatures attack it, they do so with disadvantage. Concentration: Required Range: 1.5m/5ft","Cleric, Warlock, Wizard"
Ray of Sickness,Lv 1,Necromancy,Action,2d8 Poison Inflicts Poisoned (2)Call forth a ray of sickening energy. Deals 2d8 Poison and possibly Poisons the target. Attack/Save: Ranged AttackRange: 18m/60ft,Wizard
Shield of Faith,Lv 1,Abjuration,Bonus Action,Inflicts Shield of Faith (1)Surround a creature with a shimmering field of magic that increases its Armour Class by 2. Concentration: Required Range: 18m/60ft,Cleric
Sleep,Lv 1,Enchantment,Action,Inflicts Sleeping (2)Put creatures up to a combined 24 hit points into a magical slumber.Sleeping creatures awaken if they take damage. Range: 18m/60ft,Wizard
Speak with Animals,Lv 1,Divination,Action,Inflicts Speak with AnimalsGain the ability to comprehend and verbally communicate with beasts.,Ranger
Tasha's Hideous Laughter,Lv 1,Enchantment,Action,"Inflicts Hideous Laughter (10)Inflict a creature with fits of laughter, leaving it Prone and Incapacitated.At the end of its turns or when it takes damage, the creature can try to shake off the effect. Prerequisite: the creature needs to have an Intelligence score of 5 or more. Attack/Save: Wisdom Concentration: Required Range: 18m/60ft",The Great Old One
Thunderwave,Lv 1,Evocation,Action,2d8 ThunderRelease a wave of thunderous force. It deals 2d8 Thunder and pushes away creatures and objects. Attack/Save: Constitution Range: 5m/17ft,Wizard
Witch Bolt,Lv 1,Evocation,Action,"1d12 LightningInflicts Witch Bolt (2)Call forth a beam of crackling, purple energy. Deals 1d12 Lightning and links you to the target through an arc of lightning.Each turn, you can activate the arc to automatically deal 1d12 Lightning. Attack/Save: Ranged Attack Concentration: Required Range: 18m/60ft","Warlock, Wizard"
Aid,Lv 2,Abjuration,Action,Inflicts AidBolster your allies with toughness and resolve. Heals and increases the hit point maximum by 5. Range: 9m/30ft,Cleric
Barkskin,Lv 2,Transmutation,ActionSpell Slot,Touch a willing creature to toughen its skin and increase its Armor Class up to 16.,"Nature Domain, Druid, Circle of the Forest, Ranger"
Blindness,Lv 2,Necromancy,Action,Inflicts Blindness (10)Magically blind an enemy creature.A blinded creature can try to shake off the effect at the end of each turn. Attack/Save: Constitution Range: 18m/60ft,"Cleric, Wizard"
Blur,Lv 2,Illusion,Action,Inflicts BlurredYour body becomes blurred. Attackers have disadvantage on attack rolls against you.Doesn't affect creatures that don't rely on sight or that can see through illusions. Concentration: Required,Wizard
Chromatic Orb: Acid,Lv 2,Evocation,ActionSpell Slot,3d8 AcidHurl a sphere of energy that deals 3d8 Acid Damage and creates an acid surface.,"Wizard, Sorcerer"
Chromatic Orb: Cold,Lv 2,Evocation,ActionSpell Slot,3d8 ColdHurl a sphere of energy that deals 3d8 Cold Damage and creates a frozen surface.,"Wizard, Sorcerer"
Chromatic Orb: Fire,Lv 2,Evocation,ActionSpell Slot,3d8 FireHurl a sphere of energy that deals 3d8 Fire Damage and creates a fire surface.,"Wizard, Sorcerer"
Chromatic Orb: Lightning,Lv 2,Evocation,ActionSpell Slot,3d8 LightningHurl a sphere of energy that deals 3d8 Lightning Damage and creates an electrified surface.,"Wizard, Sorcerer"
Chromatic Orb: Poison,Lv 2,Evocation,ActionSpell Slot,3d8 PoisonHurl a sphere of energy that deals 3d8 Poison Damage and creates an poison surface.,"Wizard, Sorcerer"
Chromatic Orb: Thunder,Lv 2,Evocation,ActionSpell Slot,4d8 ThunderHurl a sphere of energy that deals 4d8 Thunder Damage.,"Wizard, Sorcerer"
Cloud of Daggers,Lv 2,Conjuration,ActionSpell Slot,4d4 Slashing Conjure a cloud of spinning daggers that lasts for 10 turns. Anyone inside the whirlwind takes 4d4 Slashing damage each turn.Concentration: RequiredRange: 18m,"Bard, Sorcerer, Warlock and Wizard"
Crown of Madness,Lv 2,Enchantment,ActionSpell Slot,"Inflicts Crown of Madness Instill madness in an enemy, making them attack the creature closest to them, even if it's allied.Attack/Save: WisdomConcentration: RequiredRange: 18m","Bard, Sorcerer, Warlock and Wizard"
Darkness,Lv 2,Evocation,Action,Create a cloud of magical darkness to Heavily Obscure and Blindcreatures within. Creatures cannot make ranged attacks into or out of the darkness. Concentration: Required,"Warlock, Wizard"
Darkvision,Lv 2,Transmutation,Action,Grant a creature the ability to see in the dark out to a range of 18m/60ft.,Wizard
Detect Thoughts,Lv 2,Divination,Action,Focus your mind to read the thoughts of certain creatures while talking to them. Concentration: Required,"The Great Old One, Wizard"
Enlarge - Reduce,Lv 2,Transmutation,ActionSpell Slot,Make a creature larger or smaller.,Sorcerer and Wizard
Enhance Ability,Lv 2,Transmutation,Action +Spell Slot,"Bestow a magical enhancement upon an ally. Bearâs Endurance: ?? Bull's Strenght: Creature gains advantage on Strenght checks, and its carrying capacity is doubled. Catâs Grace: Creature gains advantage on Dexterity checks and only takes half damage from falling. Eagleâs Splendor: Creature gains advantage on Charisma checks. Foxâs Cunning: Creature gains advantage on Intelligence. Owlâs Wisdom: Creature gains advantage on Wisdom checks. Concentration: Required Range: 1.5m","Bard, Cleric, Druid, Sorcerer, Strength Domain"
Flame Blade,Lv 2,Evocation,Bonus ActionAction,"Conjure a flaming scimitar in your hand that deals 3d6 Fire damage. It sheds bright light in a 3m radius and dim light in a 6m radius. Concentration: Required The blade can be unequipped and equipped again, but has to stay on the spellcaster's person.",Druid
Flaming Sphere,Lv 2,Conjuration,Action +Spell Slot,"2d6 FireInflicts Flaming Aura Summon a flaming sphere that deals 2d6 Fire damage to nearby enemies and objets. It also sheds bright ligh in a 6m radius, and dim light for an additional 6m. Attack/Save: Dexterity Concentration: Required Range: 18m/60ft","Light Domain, Druid, Wizard, Celestial, Undying Light Patron"
Hold Person,Lv 2,Enchantment,Action,"Inflicts Hold Person (10)Paralyze a humanoid creature.At the end of each of its turns, the creature can try to free itself. Attack/Save: Wisdom Concentration: Required Range: 18m/60ft","Cleric, Warlock, Wizard"
Heat Metal,Lv 2,Transmutation,Action,Inflicts Heat Metal Cause a metal weapon you can see to glow red-hot. The creature holding the weapon takes 2d8 Fire damage and receives disadvantage on attack rolls and ability checks until the start of your next turn. Attack/Save: Constitution Concentration: Required Range: 18m/60ft You can use a bonus action on subsequent turns to deal another 2d8 Fire damage and impose disadventage for another turn.,"Bard, Druid, City Domain, Forge Domain"
Invisibility,Lv 2,Illusion,Action,Inflicts Invisible (1)Touch a creature to turn it Invisible.The spell ends early if the creature attacks or casts a spell. Concentration: Required Range: 1.5m/5ft,"Warlock, Wizard"
Lesser Restoration,Lv 2,Abjuration,Action,Remove one disease or condition afflicting a creature. Range: 1.5m/5ft,Cleric
Melf's Acid Arrow,Lv 2,Evocation,Action,"Shoot a green arrow that bursts in a spray of acid. Deals 4d4 Acid immediately and 2d4 Acid at the end of the target's turn.On successful save, the target only takes half the initial damage.",Wizard
Mirror Image,Lv 2,Illusion,Action,"Inflicts Mirror Image (10)Create 3 illusory duplicates of yourself that distract attackers. Each duplicate increases your AC by 3.Whenever you successfully evade an attack, one of the illusions disappears.","Trickery Domain, Warlock, Wizard"
Misty Step,Lv 2,Conjuration,Bonus Action,"Surrounded by black mist, you teleport to an unoccupied space you can see. Range: 18m/60ft","Warlock, Wizard"
Moonbeam,Lv 2,Evocation,Action,"Call down a silvery beam of pale light. Any creature that enters the beam or starts its turn in the light, takes 2d10 Radiant Damage. Attack/Save: Constitution Concentration: Required Range: 18m/60ft On a successful save, targets still take half damage. You can use your action to move the beam 18m.","Druid, Oath of Ancients"
Pass without Trace,Lv 2,Abjuration,Action,Inflicts Aura: Pass without Trace (1)Call forth a veil of shadows and silence that gives you and all nearby companions a +10 bonus to Stealth checks. Concentration: Required,"Trickery Domain, Ranger"
Prayer of Healing,Lv 2,Evocation,Action,"All allied creatures you can see each regain 2d8+[Spellcasting Modifier] hit points.This spell has no effect on undead or constructs, and can only be cast outside of combat. Range: 9m/30ft",Cleric
Protection from Poison,Lv 2,Abjuration,Action,"Inflicts Protection from Poison (1)Touch a creature to neutralise all poisons affecting it, to grant it advantage on saving throws against being Poisoned, and to grant it resistance to Poison damage. Range: 1.5m","Cleric, Druid, Paladin, Ranger, Strength Domain"
Ray of Enfeeblement,Lv 2,Necromancy,Action,A beam of enervating energy springs from your fingers. The target deals half damage with weapon attacks using Strength. Concentration: Required,"Warlock, Wizard"
Scorching Ray,Lv 2,Evocation,Action,2d6 FireHurl three rays of Fire. Each ray deals 2d6 Fire. Attack/Save: Ranged Attack Range: 18m/60ft,"Light Domain, The Fiend, Wizard"
Shatter,Lv 2,Evocation,Action,"Generate a painfully intense ringing noise that deals 3d8 Thunder to creates and objects.On a successful save, creatures only takes half damage. Creatures made of inorganic material such as stone have disadvantage on their saving throw.","Warlock, Wizard"
Silence,Lv 2,Illusion,Action,Create a sound-proof sphere. Creatures and objects within are Silenced and immune to Thunder damage. Concentration: Required Range: 18m/60ft,Cleric
Spike Growth,Lv 2,Transmutation,Action +Spell Slot,Shape a piece of ground into hard spikes. A creature walking on the spikes takes 1d4 Piercing damage for every 1.5m it moves. Concentration: Required Range: 18m/60ft,"Nature Domain, Druid, Circle of the Arctic, Circle of the Mountain, Ranger"
Web,Lv 2,Conjuration,Action,"Cover an area in thick, flammable webbing that can Enweb creatures within.An Enwebbed creature or ally can use its action to try and tear away the webs. Concentration: Required",Wizard
